date,portfolio_value,cash,holdings,price,in_position,daily_return,cumulative_return,buy_hold_value
2025-03-03 00:00:00,10000.0,10000.0,0.0,94261.53,0,,,10000.0
2025-03-04 00:00:00,10000.0,10000.0,0.0,86124.71,0,0.0,0.0,9136.782690582499
2025-03-05 00:00:00,10000.0,10000.0,0.0,87310.81,0,0.0,0.0,9262.612505514011
2025-03-06 00:00:00,10000.0,10000.0,0.0,90604.08,0,0.0,0.0,9611.988923904808
2025-03-07 00:00:00,10000.0,10000.0,0.0,90001.4,0,0.0,0.0,9548.051908364581
2025-03-08 00:00:00,10000.0,10000.0,0.0,86773.34,0,0.0,0.0,9205.593558453518
2025-03-09 00:00:00,10000.0,10000.0,0.0,86142.98,0,0.0,0.0,9138.720827048788
2025-03-10 00:00:00,10000.0,10000.0,0.0,80751.14,0,0.0,0.0,8566.711836559065
2025-03-11 00:00:00,10000.0,10000.0,0.0,78783.94,0,0.0,0.0,8358.016062804174
2025-03-12 00:00:00,10000.0,10000.0,0.0,82799.11,0,0.0,0.0,8783.97640185327
2025-03-13 00:00:00,10000.0,10000.0,0.0,83884.25,0,0.0,0.0,8899.096294995075
2025-03-14 00:00:00,10000.0,10000.0,0.0,81098.9,0,0.0,0.0,8603.605103704416
2025-03-15 00:00:00,10000.0,10000.0,0.0,83971.71,0,0.0,0.0,8908.375093005003
2025-03-16 00:00:00,10000.0,10000.0,0.0,84391.69,0,0.0,0.0,8952.930035308475
2025-03-17 00:00:00,10000.0,10000.0,0.0,82610.62,0,0.0,0.0,8763.979853946998
2025-03-18 00:00:00,10000.0,10000.0,0.0,84075.37,0,0.0,0.0,8919.371777776347
2025-03-19 00:00:00,10000.0,10000.0,0.0,82780.03,0,0.0,0.0,8781.952507084889
2025-03-20 00:00:00,10000.0,10000.0,0.0,86815.44,0,0.0,0.0,9210.060398517895
2025-03-21 00:00:00,10000.0,10000.0,0.0,84270.84,0,0.0,0.0,8940.10961077942
2025-03-22 00:00:00,10000.0,10000.0,0.0,84009.53,0,0.0,0.0,8912.387732734693
